,Pclass,Sex,Age,Siblings/Spouses Aboard,Parents/Children Aboard,Survived
0,3,0,22.0,1,0,0
1,1,1,38.0,1,0,1
2,3,1,26.0,0,0,1
3,1,1,35.0,1,0,1
4,3,0,35.0,0,0,0
5,3,0,27.0,0,0,0
6,1,0,54.0,0,0,0
7,3,0,2.0,3,1,0
8,3,1,27.0,0,2,1
9,2,1,14.0,1,0,1
10,3,1,4.0,1,1,1
11,1,1,58.0,0,0,1
12,3,0,20.0,0,0,0
13,3,0,39.0,1,5,0
14,3,1,14.0,0,0,0
15,2,1,55.0,0,0,1
16,3,0,2.0,4,1,0
17,2,0,23.0,0,0,1
18,3,1,31.0,1,0,0
19,3,1,22.0,0,0,1
20,2,0,35.0,0,0,0
21,2,0,34.0,0,0,1
22,3,1,15.0,0,0,1
23,1,0,28.0,0,0,1
24,3,1,8.0,3,1,0
25,3,1,38.0,1,5,1
26,3,0,26.0,0,0,0
27,1,0,19.0,3,2,0
28,3,1,24.0,0,0,1
29,3,0,23.0,0,0,0
30,1,0,40.0,0,0,0
31,1,1,48.0,1,0,1
32,3,1,18.0,0,0,1
33,2,0,66.0,0,0,0
34,1,0,28.0,1,0,0
35,1,0,42.0,1,0,0
36,3,0,18.0,0,0,1
37,3,0,21.0,0,0,0
38,3,1,18.0,2,0,0
39,3,1,14.0,1,0,1
40,3,1,40.0,1,0,0
41,2,1,27.0,1,0,0
42,2,1,3.0,1,2,1
43,3,1,19.0,0,0,1
44,3,0,30.0,0,0,0
45,3,0,20.0,1,0,0
46,3,1,27.0,0,0,1
47,3,0,16.0,2,0,0
48,3,1,18.0,1,0,0
49,3,0,7.0,4,1,0
50,3,0,21.0,0,0,0
51,1,1,49.0,1,0,1
52,2,1,29.0,1,0,1
53,1,0,65.0,0,1,0
54,1,0,46.0,0,0,1
55,2,1,21.0,0,0,1
56,3,0,28.5,0,0,0
57,2,1,5.0,1,2,1
58,3,0,11.0,5,2,0
59,3,0,22.0,0,0,0
60,1,1,38.0,0,0,1
61,1,0,45.0,1,0,0
62,3,0,4.0,3,2,0
63,1,0,64.0,0,0,0
64,3,0,7.0,1,1,1
65,2,1,29.0,0,0,1
66,3,0,19.0,0,0,0
67,3,1,17.0,4,2,1
68,3,0,26.0,2,0,0
69,2,0,32.0,0,0,0
70,3,1,16.0,5,2,0
71,2,0,21.0,0,0,0
72,3,0,26.0,1,0,0
73,3,0,32.0,0,0,1
74,3,0,25.0,0,0,0
75,3,0,23.0,0,0,0
76,3,0,28.0,0,0,0
77,2,0,0.83,0,2,1
78,3,1,30.0,0,0,1
79,3,0,22.0,0,0,0
80,3,0,29.0,0,0,1
81,3,1,31.0,0,0,1
82,1,0,28.0,0,0,0
83,2,1,17.0,0,0,1
84,3,1,33.0,3,0,1
85,3,0,16.0,1,3,0
86,3,0,20.0,0,0,0
87,1,1,23.0,3,2,1
88,3,0,24.0,0,0,0
89,3,0,29.0,0,0,0
90,3,0,20.0,0,0,0
91,1,0,46.0,1,0,0
92,3,0,26.0,1,2,0
93,3,0,59.0,0,0,0
94,3,0,22.0,0,0,0
95,1,0,71.0,0,0,0
96,1,0,23.0,0,1,1
97,2,1,34.0,0,1,1
98,2,0,34.0,1,0,0
99,3,1,28.0,0,0,0
100,3,0,29.0,0,0,0
101,1,0,21.0,0,1,0
102,3,0,33.0,0,0,0
103,3,0,37.0,2,0,0
104,3,0,28.0,0,0,0
105,3,1,21.0,0,0,1
106,3,0,29.0,0,0,1
107,3,0,38.0,0,0,0
108,3,1,28.0,1,0,1
109,1,0,47.0,0,0,0
110,3,1,14.5,1,0,0
111,3,0,22.0,0,0,0
112,3,1,20.0,1,0,0
113,3,1,17.0,0,0,0
114,3,0,21.0,0,0,0
115,3,0,70.5,0,0,0
116,2,0,29.0,1,0,0
117,1,0,24.0,0,1,0
118,3,1,2.0,4,2,0
119,2,0,21.0,2,0,0
120,3,0,19.0,0,0,0
121,2,0,32.5,1,0,0
122,2,1,32.5,0,0,1
123,1,0,54.0,0,1,0
124,3,0,12.0,1,0,1
125,3,0,19.0,0,0,0
126,3,0,24.0,0,0,1
127,3,1,2.0,1,1,1
128,3,0,45.0,0,0,0
129,3,0,33.0,0,0,0
130,3,0,20.0,0,0,0
131,3,1,47.0,1,0,0
132,2,1,29.0,1,0,1
133,2,0,25.0,0,0,0
134,2,0,23.0,0,0,0
135,1,1,19.0,0,2,1
136,1,0,37.0,1,0,0
137,3,0,16.0,0,0,0
138,1,0,24.0,0,0,0
139,3,1,40.0,0,2,0
140,3,1,22.0,0,0,1
141,3,1,24.0,1,0,1
142,3,0,19.0,0,0,0
143,2,0,18.0,0,0,0
144,2,0,19.0,1,1,0
145,3,0,27.0,0,0,1
146,3,1,9.0,2,2,0
147,2,0,36.5,0,2,0
148,2,0,42.0,0,0,0
149,2,0,51.0,0,0,0
150,1,1,22.0,1,0,1
151,3,0,55.5,0,0,0
152,3,0,40.5,0,2,0
153,3,0,27.0,0,0,0
154,1,0,51.0,0,1,0
155,3,1,16.0,0,0,1
156,3,0,30.0,0,0,0
157,3,0,37.0,0,0,0
158,3,0,5.0,8,2,0
159,3,0,44.0,0,1,0
160,2,1,40.0,0,0,1
161,3,0,26.0,0,0,0
162,3,0,17.0,0,0,0
163,3,0,1.0,4,1,0
164,3,0,9.0,0,2,1
165,1,1,48.0,0,1,1
166,3,1,45.0,1,4,0
167,1,0,60.0,0,0,0
168,3,0,28.0,0,0,0
169,1,0,61.0,0,0,0
170,3,0,4.0,4,1,0
171,3,1,1.0,1,1,1
172,3,0,21.0,0,0,0
173,1,0,56.0,0,0,0
174,3,0,18.0,1,1,0
175,3,0,5.0,3,1,0
176,1,1,50.0,0,0,0
177,2,0,30.0,0,0,0
178,3,0,36.0,0,0,0
179,3,1,8.0,8,2,0
180,2,0,39.0,0,0,0
181,3,0,9.0,4,2,0
182,2,0,1.0,2,1,1
183,3,1,4.0,0,2,1
184,1,0,39.0,0,0,0
185,3,1,26.0,1,0,1
186,1,0,45.0,0,0,1
187,3,0,40.0,1,1,0
188,3,0,36.0,0,0,0
189,2,1,32.0,0,0,1
190,2,0,19.0,0,0,0
191,3,1,19.0,1,0,1
192,2,0,3.0,1,1,1
193,1,1,44.0,0,0,1
194,1,1,58.0,0,0,1
195,3,0,28.0,0,0,0
196,3,0,42.0,0,1,0
197,3,1,21.0,0,0,1
198,2,1,24.0,0,0,0
199,3,0,28.0,0,0,0
200,3,0,17.0,8,2,0
201,3,0,34.0,0,0,0
202,3,0,45.5,0,0,0
203,3,0,18.0,0,0,1
204,3,1,2.0,0,1,0
205,3,0,32.0,1,0,0
206,3,0,26.0,0,0,1
207,3,1,16.0,0,0,1
208,1,0,40.0,0,0,1
